stamp_s,phase,vt_s,warp,settle_blend,motor_id,q,q_des,err,qd,qd_des,qd_err,kp,kd,j_eff,tau_ff,tau_meas,pd_tau,total_tau,hold_ref_source,q_final,q_final_err,settle_vel_brake
1782898564.627161,trajectory,0.151324,1.000000,0.000000,1,0.007862091,0.008729093,0.000867001,0.138977051,0.009385297,-0.129591753,35.000000,5.000000,,0.266673521,-0.021011353,-0.617613717,-0.350940195,q_final,,,1.000000
1782898564.627161,trajectory,0.151324,1.000000,0.000000,2,-0.012846947,-0.010965733,0.001881214,0.021667480,-0.000692248,-0.022359729,25.000000,5.800000,,0.302604420,0.010070801,-0.082656080,0.219948340,q_final,,,1.000000
1782898564.627161,trajectory,0.151324,1.000000,0.000000,3,0.013613701,0.009023086,-0.004590615,-0.049011230,-0.014668944,0.034342286,40.000000,4.830000,,0.103598007,-0.135149002,-0.017751363,0.085846644,q_final,,,1.000000
1782898564.627161,trajectory,0.151324,1.000000,0.000000,4,-0.002492905,-0.002805172,-0.000312268,-0.020812988,-0.006059918,0.014753070,24.000000,2.250000,,0.032240136,-0.024124146,0.025699985,0.057940121,q_final,,,1.000000
1782898564.627161,trajectory,0.151324,1.000000,0.000000,5,0.001726151,0.001087529,-0.000638622,-0.021652222,-0.019833081,0.001819141,15.000000,1.500000,,-0.036549790,-0.057038307,-0.006850613,-0.043400403,q_final,,,1.000000
1782898564.627161,trajectory,0.151324,1.000000,0.000000,6,-0.009778976,-0.008922861,0.000856115,-0.046829224,0.009174035,0.056003259,12.000000,1.000000,,-0.034817963,0.002349854,0.066276641,0.031458678,q_final,,,1.000000
1782898564.639299,trajectory,0.163449,1.000000,0.000000,1,0.008245468,0.008851823,0.000606355,0.027526855,0.010874653,-0.016652203,35.000000,5.000000,,-0.043274874,0.002334595,-0.062038576,-0.105313450,q_final,,,1.000000
1782898564.639299,trajectory,0.163449,1.000000,0.000000,2,-0.013230324,-0.010974785,0.002255538,0.039978027,-0.000802101,-0.040780128,25.000000,5.800000,,0.223589198,-0.017395020,-0.180136284,0.043452914,q_final,,,1.000000
1782898564.639299,trajectory,0.163449,1.000000,0.000000,3,0.013613701,0.008831261,-0.004782440,-0.161808014,-0.016996763,0.144811251,40.000000,4.830000,,-0.198742718,-0.196887970,0.508140739,0.309398021,q_final,,,1.000000
1782898564.639299,trajectory,0.163449,1.000000,0.000000,4,-0.002492905,-0.002884417,-0.000391513,0.027526855,-0.007021569,-0.034548424,24.000000,2.250000,,0.122738306,0.025161743,-0.087130261,0.035608045,q_final,,,1.000000
